
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,ID,
35.8382,um,Surface,Image 1,1,0,
0,um,Surface,Image 1,1,1,
0,um,Surface,Image 1,1,2,
26.1607,um,Surface,Image 1,1,3,
31.9914,um,Surface,Image 1,1,4,
0,um,Surface,Image 1,1,5,
20.6045,um,Surface,Image 1,1,6,
18.4949,um,Surface,Image 1,1,7,
76.4241,um,Surface,Image 1,1,8,
33.4513,um,Surface,Image 1,1,9,
17.1904,um,Surface,Image 1,1,10,
145.724,um,Surface,Image 1,1,11,
112.202,um,Surface,Image 1,1,12,
0,um,Surface,Image 1,1,13,
38.7087,um,Surface,Image 1,1,14,
86.1162,um,Surface,Image 1,1,15,
73.8875,um,Surface,Image 1,1,16,
92.26,um,Surface,Image 1,1,17,
10.9261,um,Surface,Image 1,1,18,
39.8775,um,Surface,Image 1,1,19,
0,um,Surface,Image 1,1,20,
23.7902,um,Surface,Image 1,1,21,
0,um,Surface,Image 1,1,22,
0,um,Surface,Image 1,1,23,
