
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
931.145,,Surface,5,Image 1,1,0,
1216.11,,Surface,5,Image 1,1,1,
1076.66,,Surface,5,Image 1,1,2,
1002.68,,Surface,5,Image 1,1,3,
2017.62,,Surface,5,Image 1,1,4,
330.33,,Surface,5,Image 1,1,5,
1567.9,,Surface,5,Image 1,1,6,
1745.87,,Surface,5,Image 1,1,7,
1570.39,,Surface,5,Image 1,1,8,
2058.48,,Surface,5,Image 1,1,9,
868.005,,Surface,5,Image 1,1,10,
1998.92,,Surface,5,Image 1,1,11,
1658.06,,Surface,5,Image 1,1,12,
2012.24,,Surface,5,Image 1,1,13,
1042.8,,Surface,5,Image 1,1,14,
2452.13,,Surface,5,Image 1,1,15,
1285.5,,Surface,5,Image 1,1,16,
1310.38,,Surface,5,Image 1,1,17,
1280.3,,Surface,5,Image 1,1,18,
1289.88,,Surface,5,Image 1,1,19,
1755.5,,Surface,5,Image 1,1,20,
166.672,,Surface,5,Image 1,1,21,
1488.97,,Surface,5,Image 1,1,22,
1566.58,,Surface,5,Image 1,1,23,
